year,ward_name,registered_voters_total,ballots_cast_total
2020,"V. Greendale Wards 3,4 ",2180,2009
2020,"V. Greendale Wards 5,6 ",1929,1784
2020,"V. Greendale Wards 7,8 ",1912,1762
2020,"V. Greendale Wards 9,10 ",2319,2135
2020,City of Greenfield Ward 1 ,1190,1037
2020,City of Greenfield Ward 2 ,1023,903
2020,City of Greenfield Ward 3 ,999,853
2020,City of Greenfield Ward 4 ,1014,833
2020,City of Greenfield Ward 5 ,1136,976
2020,City of Greenfield Ward 6 ,1105,997
2020,City of Greenfield Ward 7 ,1442,1300
2020,City of Greenfield Ward 8 ,1277,1129
2020,City of Greenfield Ward 9 ,1178,1068
2020,City of Greenfield Ward 10 ,1238,1105
2020,City of Greenfield Ward 11 ,1392,1328
2020,City of Greenfield Ward 12 ,1469,1395
2020,City of Greenfield Ward 13 ,723,677
2020,City of Greenfield Ward 14 ,1025,910
2020,City of Greenfield Ward 15 ,1020,915
2020,City of Greenfield Ward 16 ,454,385
2020,City of Greenfield Ward 17 ,909,816
2020,City of Greenfield Ward 18 ,975,890
2020,City of Greenfield Ward 19 ,1439,1300
2020,City of Greenfield Ward 20 ,1522,1367
2020,City of Greenfield Ward 21 ,974,840
2020,"V. Hales Corners Wards 1,2,3  ",1800,1641
2020,"V. Hales Corners Wards 4,5,6  ",1764,1610
2020,"V. Hales Corners Wards 7,8,9  ",1646,1559
2020,"C. Oak Creek Wards 1,2,3 ",3748,3533
2020,"C. Oak Creek Wards 4,5,6 ",3714,3463
2020,"C. Oak Creek Wards 7,8,9 ",3708,3470
2020,"C. Oak Creek Wards 10,11,12 ",4045,3770
2020,"C. Oak Creek Wards 13,14,15 ",3878,3670
2020,"C. Oak Creek Wards 16,17,18,19 ",3262,2934
2020,"V. River Hills Wards 1,2,3 ",186,1266
2020,"C. St. Francis Wards 1,2,3,4  ",1912,1693
2020,"C. St. Francis Wards 5,6,7,8  ",2000,1823
2020,"C. St. Francis Wards 9,10,11,1 ",2381,2209
2020,"V. Shorewood Wards 1,2,3,4 ",3902,3519
2020,"V. Shorewood Wards 5,6,7,8 ",3266,2944
2020,"V. Shorewood Wards 9,10,11,12  ",3131,2853
2020,"C. So. Milw. Wards 1,2,3,4 ",3080,2830
2020,"C. So. Milw. Wards 5,6,7,8 ",2767,2471
2020,"C. So. Milw. Wards 9,10,11,12  ",3418,3159
2020,"C. So. Milw. Wards 13,14,15,16 ",3073,2766
2020,City of Wauwatosa Ward 1 ,1418,1314
2020,City of Wauwatosa Ward 2 ,1451,1328
2020,City of Wauwatosa Ward 3 ,1572,1407
2020,City of Wauwatosa Ward 4 ,2060,1900
2020,City of Wauwatosa Ward 5 ,1260,1101
2020,City of Wauwatosa Ward 6 ,1158,1027
2020,City of Wauwatosa Ward 7 ,1716,1566
2020,City of Wauwatosa Ward 8 ,824,699
2020,City of Wauwatosa Ward 9 ,1624,1448
2020,City of Wauwatosa Ward 10 ,1555,1427
2020,City of Wauwatosa Ward 11 ,1485,1339
2020,City of Wauwatosa Ward 12 ,1710,1586
2020,City of Wauwatosa Ward 13 ,821,738
2020,City of Wauwatosa Ward 14 ,1540,1388
2020,City of Wauwatosa Ward 15 ,1631,1490
2020,City of Wauwatosa Ward 16 ,1714,1595
2020,City of Wauwatosa Ward 17 ,1454,1357
2020,City of Wauwatosa Ward 18 ,1283,1138
2020,City of Wauwatosa Ward 19 ,1435,1317
2020,City of Wauwatosa Ward 20 ,1886,1721
2020,City of Wauwatosa Ward 21 ,1295,1170
2020,City of Wauwatosa Ward 22 ,1457,1382
2020,City of Wauwatosa Ward 23 ,1333,1219
2020,City of Wauwatosa Ward 24 ,1213,1063
2020,City of West Allis Ward 1 ,1097,878
2020,City of West Allis Ward 2 ,1475,1223
2020,City of West Allis Ward 3 ,1039,829
2020,City of West Allis Ward 4 ,1476,1226
2020,City of West Allis Ward 5 ,1209,1001
2020,City of West Allis Ward 6 ,1173,922
2020,City of West Allis Ward 7 ,1414,1180
2020,City of West Allis Ward 8 ,1183,932
2020,City of West Allis Ward 9 ,1541,1285
2020,City of West Allis Ward 10 ,1365,1109
2020,City of West Allis Ward 11 ,1622,1406
2020,City of West Allis Ward 12 ,1456,1267
2020,City of West Allis Ward 13 ,1904,1719
2020,City of West Allis Ward 14 ,1140,910
2020,City of West Allis Ward 15 ,1195,988
2020,City of West Allis Ward 16 ,1167,1000
2020,City of West Allis Ward 17 ,1574,1350
2020,City of West Allis Ward 18 ,1811,1556
2020,City of West Allis Ward 19 ,1646,1418
2020,City of West Allis Ward 20 ,1172,1028
2020,City of West Allis Ward 21 ,1504,1279
2020,City of West Allis Ward 22 ,1231,992
2020,City of West Allis Ward 23 ,1648,1441
2020,City of West Allis Ward 24 ,1096,924
2020,City of West Allis Ward 25 ,1517,1372
2020,"V. West Milwaukee Wards 1,2,5  ",977,784
2020,"V. West Milwaukee Wards 3,4,6  ",1048,921
2020,"V. Whitefish Bay Wards 1,2 ",1753,1630
2020,"V. Whitefish Bay Wards 3,4 ",1642,1518
2020,"V. Whitefish Bay Wards 5,6 ",1849,1678
2020,V. Whitefish Bay Ward 7 ,919,837
2020,"V. Whitefish Bay Wards 8,10 ",2031,1847
2020,"V. Whitefish Bay Wards 9,11 ",1807,1619
2020,V. Whitefish Bay Ward 12 ,1068,998
